"Open Time ET","Side","Qty Open","Symbol","Descrip","Avg Price Open","Qty Closed","Closed Time ET","Avg Price Closed","DD as %","DD $","DD Time ET","DD Quant","DD Worst Price","Trade P/L","Trade ID"
"2026-04-02 15:44:00","LONG","93","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","78.0134","93","2026-04-06 15:45:52","76.0453","-1.31","-270.94","2026-04-06 10:00:00","93","75.1000","-184.86","155368640"
"2026-04-01 15:50:41","LONG","144","TQQQ","PROSHARES ULTRAPRO QQQ","43.2885","144","2026-04-02 15:46:06","42.9200","-1.95","-410.18","2026-04-02 09:40:00","144","40.4400","-55.88","155347662"
"2026-03-10 15:48:14","LONG","99","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","71.9881","99","2026-04-01 15:50:02","78.0960","-0.74","-150.70","2026-03-11 00:00:00","85","69.0000","603.02","154974022"
"2026-03-04 15:48:29","LONG","432","TQQQ","PROSHARES ULTRAPRO QQQ","50.4235","432","2026-03-09 15:45:37","48.0939","-6.62","-1401.20","2026-03-06 00:00:00","432","47.1800","-1014.64","154876023"
"2026-02-27 15:45:34","LONG","102","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","71.0598","102","2026-03-04 15:45:35","69.2455","-1.07","-229.48","2026-03-04 14:10:00","102","68.8100","-187.04","154799278"
"2026-02-25 15:45:33","LONG","221","TQQQ","PROSHARES ULTRAPRO QQQ","51.8092","221","2026-02-27 15:45:34","49.2277","-3.58","-784.38","2026-02-27 09:43:00","221","48.2600","-575.42","154757982"
"2026-02-20 15:48:24","LONG","469","TQQQ","PROSHARES ULTRAPRO QQQ","49.9786","469","2026-02-23 15:45:39","47.9732","-4.67","-1087.44","2026-02-23 11:13:00","469","47.6600","-950.38","154685422"
"2026-02-11 15:45:46","LONG","87","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","68.7515","87","2026-02-20 15:45:29","70.6929","-0.25","-57.74","2026-02-12 00:00:00","84","67.9500","167.26","154540712"
"2026-02-02 15:45:54","LONG","106","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","64.8918","106","2026-02-03 15:45:46","68.3121","-0.35","-79.69","2026-02-03 09:30:00","106","64.1400","360.88","154344963"
"2026-01-23 15:45:39","LONG","423","TQQQ","PROSHARES ULTRAPRO QQQ","54.3736","423","2026-01-30 15:45:35","53.9501","-2.31","-555.66","2026-01-29 00:00:00","423","53.0600","-187.46","154210774"
"2026-01-14 15:45:39","LONG","157","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","67.3822","157","2026-01-21 15:45:37","68.0640","-1.91","-436.20","2026-01-15 00:00:00","153","64.4750","103.86","154113938"
"2026-01-05 15:48:41","LONG","783","TQQQ","PROSHARES ULTRAPRO QQQ","54.7762","783","2026-01-14 15:45:38","53.8138","-4.31","-974.21","2026-01-14 13:38:00","428","52.5000","-769.66","154005663"
"2025-12-29 15:45:40","LONG","157","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","67.7314","157","2026-01-05 15:45:42","67.2061","-0.37","-87.57","2026-01-05 15:45:00","156","67.1700","-85.14","153943778"
"2025-12-19 15:45:32","LONG","436","TQQQ","PROSHARES ULTRAPRO QQQ","53.7676","436","2025-12-29 15:45:40","54.4973","-0.10","-23.59","2025-12-19 15:50:00","263","53.3600","309.28","153877718"
"2025-12-10 15:37:34","LONG","263","TQQQ","PROSHARES ULTRAPRO QQQ","56.9498","263","2025-12-11 15:49:20","55.8413","-3.30","-781.06","2025-12-11 10:00:00","263","53.9800","-297.26","153764719"
"2025-12-09 15:48:43","LONG","89","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","66.6646","89","2025-12-10 15:36:48","65.5704","-0.47","-112.55","2025-12-10 15:20:00","89","65.4000","-98.78","153750104"
"2025-12-03 15:46:22","LONG","231","TQQQ","PROSHARES ULTRAPRO QQQ","55.8367","231","2025-12-09 15:47:25","55.9891","-1.19","-283.37","2025-12-04 00:00:00","231","54.6100","30.38","153669843"
"2025-12-01 15:52:21","LONG","105","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","69.1967","105","2025-12-03 15:45:39","66.8302","-1.05","-250.61","2025-12-03 15:16:00","105","66.8100","-250.10","153640185"
"2025-11-24 15:46:38","LONG","449","TQQQ","PROSHARES ULTRAPRO QQQ","51.5466","449","2025-12-01 15:51:53","54.0180","-2.54","-585.14","2025-11-25 00:00:00","270","49.0800","1101.02","153545428"
"2025-11-05 15:51:48","LONG","62","TQQQ","PROSHARES ULTRAPRO QQQ","113.9240","62","2025-11-06 15:43:37","107.5122","-2.10","-483.85","2025-11-06 12:26:00","62","106.1200","-399.24","153356377"
"2025-11-04 15:41:51","LONG","786","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","13.7156","786","2025-11-05 15:51:35","13.4215","-1.39","-326.62","2025-11-05 13:52:00","786","13.3000","-236.00","153345304"
"2025-11-03 15:53:21","LONG","30","TQQQ","PROSHARES ULTRAPRO QQQ","118.0187","30","2025-11-04 15:41:31","111.7074","-0.88","-208.16","2025-11-04 14:43:00","30","111.0800","-189.60","153334923"
"2025-10-30 15:57:17","LONG","688","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","13.2304","688","2025-11-03 15:51:54","13.0311","-1.37","-330.50","2025-11-03 09:33:00","688","12.7500","-146.38","153305751"
"2025-10-24 15:46:54","LONG","209","TQQQ","PROSHARES ULTRAPRO QQQ","110.9861","209","2025-10-30 15:56:40","115.7824","-0.54","-124.58","2025-10-24 15:59:00","209","110.3900","997.82","153252378"
"2025-10-22 15:51:53","LONG","719","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","14.7953","719","2025-10-24 15:45:59","14.1446","-1.49","-345.13","2025-10-24 13:47:00","373","13.8700","-477.69","153232428"
"2025-10-17 15:52:47","LONG","134","TQQQ","PROSHARES ULTRAPRO QQQ","106.0229","134","2025-10-22 15:51:15","104.4210","-2.53","-595.35","2025-10-22 13:54:00","134","101.5800","-217.68","153197168"
"2025-10-14 15:51:50","LONG","716","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","15.3383","716","2025-10-17 15:52:32","14.8854","-2.36","-564.44","2025-10-16 00:00:00","716","14.5500","-329.00","153162167"
"2025-10-13 15:53:17","LONG","71","TQQQ","PROSHARES ULTRAPRO QQQ","103.3199","71","2025-10-14 15:51:18","100.6807","-1.85","-443.75","2025-10-14 09:45:00","71","97.0700","-188.42","153149984"
"2025-10-09 15:54:19","LONG","711","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","15.2711","711","2025-10-13 15:53:06","14.9946","-0.85","-206.94","2025-10-13 15:53:00","711","14.9800","-206.61","153123141"
"2025-10-08 15:51:04","LONG","227","TQQQ","PROSHARES ULTRAPRO QQQ","108.7079","227","2025-10-09 15:54:04","108.3330","-1.83","-443.32","2025-10-09 13:35:00","227","106.7550","-89.54","153112333"
"2025-09-04 15:54:24","LONG","437","TQQQ","PROSHARES ULTRAPRO QQQ","93.1148","437","2025-10-07 15:52:23","100.6950","-1.25","-267.66","2025-09-05 00:00:00","163","89.6872","3304.26","152829723"
"2025-08-29 15:55:37","LONG","630","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","18.0491","630","2025-09-04 15:53:40","17.5450","-1.49","-320.74","2025-09-04 15:53:00","630","17.5400","-323.00","152786791"
"2025-08-22 15:55:06","LONG","280","TQQQ","PROSHARES ULTRAPRO QQQ","92.2177","280","2025-08-29 15:54:52","88.7904","-4.79","-1043.75","2025-08-29 13:17:00","280","88.4900","-965.60","152689531"
"2025-08-18 15:51:39","LONG","810","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","17.2969","810","2025-08-22 15:54:29","17.8053","-0.17","-37.98","2025-08-18 15:54:00","810","17.2500","405.40","152635245"
"2025-08-04 15:52:25","LONG","273","TQQQ","PROSHARES ULTRAPRO QQQ","90.5553","273","2025-08-15 15:54:27","93.3007","-0.74","-161.26","2025-08-05 00:00:00","85","85.4200","744.54","152515604"
"2025-07-29 15:51:02","LONG","1286","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","18.1885","1286","2025-08-04 15:52:05","19.0508","-4.39","-898.26","2025-07-31 00:00:00","1286","17.4900","1101.50","152459421"
"2025-07-25 15:52:36","LONG","1290","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","18.2490","1290","2025-07-28 15:49:25","18.1412","-1.55","-321.21","2025-07-28 10:08:00","1290","18.0000","-144.00","152423101"
"2025-07-22 15:49:38","LONG","1284","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","18.6760","1284","2025-07-24 15:46:42","18.3110","-2.69","-559.82","2025-07-24 13:15:00","1284","18.2400","-474.00","152388892"
"2025-05-01 15:52:03","LONG","517","TQQQ","PROSHARES ULTRAPRO QQQ","64.0845","517","2025-07-21 15:53:16","78.9256","-4.12","-562.84","2025-05-07 00:00:00","208","55.0850","7662.66","151594818"
"2025-04-23 15:51:39","LONG","116","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","35.6357","116","2025-05-01 15:51:36","29.6220","-6.61","-789.46","2025-05-01 11:19:00","116","28.8300","-700.32","151504406"
"2025-04-11 15:50:49","LONG","114","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","36.1350","114","2025-04-16 15:42:06","39.3720","-2.28","-282.38","2025-04-14 00:00:00","114","33.6580","366.72","151377652"
"2025-04-09 15:50:28","LONG","114","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","33.6480","114","2025-04-10 15:47:15","38.9900","-0.46","-54.38","2025-04-09 15:55:00","114","33.1710","606.72","151343542"
"2025-03-26 15:54:11","LONG","164","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","34.8550","164","2025-03-28 15:49:53","37.3891","-0.65","-74.62","2025-03-27 00:00:00","164","34.4000","412.72","151199197"
"2025-03-24 15:59:56","LONG","90","TQQQ","PROSHARES ULTRAPRO QQQ","66.1693","90","2025-03-27 15:52:58","62.4250","-3.45","-397.74","2025-03-27 09:41:00","90","61.7500","-338.80","151176456"
"2025-03-19 15:51:36","LONG","111","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","36.2850","111","2025-03-24 15:45:03","34.1050","-2.14","-252.53","2025-03-24 15:06:00","111","34.0100","-244.22","151138787"
"2025-03-17 15:49:39","LONG","98","TQQQ","PROSHARES ULTRAPRO QQQ","63.8293","98","2025-03-18 09:49:56","60.2907","-3.20","-394.38","2025-03-18 09:45:00","98","59.8050","-348.96","151119267"
"2024-06-13 15:39:40","LONG","3683","TQQQ","PROSHARES ULTRAPRO QQQ","77.1319","3683","2025-03-10 15:56:24","75.8380","-47.34","-5775.57","2025-03-10 15:11:00","300","57.8800","-4838.66","148403319"
"2024-08-16 15:50:38","SHORT","30","SPY","SPDR S&P 500","553.7710","30","2024-08-16 15:50:58","553.8300","-0.01","-2.00","2024-08-16 15:50:58","30","553.8300","-2.60","148941690"
"2023-03-27 09:34:54","LONG","1814","TQQQ","PROSHARES ULTRAPRO QQQ","45.7250","1814","2024-06-06 15:28:27","52.0306","-7.25","-664.00","2023-03-28 00:00:00","400","24.2900","11401.72","144059128"
"2023-11-10 15:46:00","SHORT","3","SPY","SPDR S&P 500","440.5300","3","2023-11-10 15:46:20","440.5100","0.00","0.00","2023-11-10 15:46:00","","0.0000","-0.06","146405355"
"2023-03-24 13:43:11","LONG","100","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","32.8200","100","2023-03-27 09:30:28","32.1300","-0.77","-73.00","2023-03-27 09:30:00","100","32.0900","-71.00","144030341"
"2023-03-16 09:48:16","LONG","430","TQQQ","PROSHARES ULTRAPRO QQQ","22.9100","430","2023-03-23 14:39:46","25.2400","0.00","0.00","2023-03-16 09:48:16","","0.0000","993.40","143926226"
"2023-03-15 10:46:54","LONG","77","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","38.7400","77","2023-03-16 09:47:38","37.2800","-1.78","-152.46","2023-03-15 15:02:00","77","36.7600","-113.54","143912011"
"2023-03-15 09:30:49","LONG","460","TQQQ","PROSHARES ULTRAPRO QQQ","22.1700","460","2023-03-15 10:43:51","21.9700","-1.24","-110.40","2023-03-15 10:35:00","460","21.9300","-101.20","143909502"
"2023-03-01 11:57:51","LONG","490","TQQQ","PROSHARES ULTRAPRO QQQ","21.8500","490","2023-03-10 13:41:49","20.7700","-5.78","-529.20","2023-03-10 13:35:00","490","20.7700","-538.80","143736781"
"2023-01-20 13:54:36","LONG","538","TQQQ","PROSHARES ULTRAPRO QQQ","20.3927","538","2023-03-01 11:16:42","21.6125","-0.10","-10.00","2023-01-25 00:00:00","500","19.9800","645.24","143286132"
"2023-01-19 09:50:30","LONG","60","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","48.7500","60","2023-01-20 13:54:08","45.8000","-2.04","-179.99","2023-01-20 13:50:00","60","45.7501","-178.20","143267532"
"2023-01-11 15:19:44","LONG","530","TQQQ","PROSHARES ULTRAPRO QQQ","19.2900","530","2023-01-19 09:49:59","18.8300","-3.99","-371.00","2023-01-12 00:00:00","530","18.5900","-249.00","143183186"
"2023-01-05 10:12:29","LONG","200","TQQQ","PROSHARES ULTRAPRO QQQ","16.6900","200","2023-01-06 09:31:34","16.5500","-0.89","-82.00","2023-01-05 15:54:00","200","16.2800","-32.00","143108174"
"2022-12-30 10:04:05","LONG","100","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","55.8500","100","2023-01-05 10:05:36","56.3300","-4.62","-416.93","2023-01-03 00:00:00","100","51.6807","46.00","143044944"
"2022-12-28 10:18:11","LONG","200","TQQQ","PROSHARES ULTRAPRO QQQ","16.9400","200","2022-12-30 09:41:23","16.7200","-1.83","-168.00","2022-12-28 15:15:00","200","16.1000","-48.00","143018474"
"2022-12-16 10:03:10","LONG","200","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","49.3400","200","2022-12-20 09:39:57","52.9700","0.00","0.00","2022-12-16 10:03:10","","0.0000","722.00","142903583"
"2022-12-01 10:57:02","LONG","480","TQQQ","PROSHARES ULTRAPRO QQQ","23.5900","480","2022-12-15 15:47:22","19.5300","-23.26","-2035.20","2022-12-15 13:52:00","480","19.3500","-1958.60","142734913"
"2022-11-21 09:37:46","LONG","480","TQQQ","PROSHARES ULTRAPRO QQQ","21.5000","480","2022-12-01 10:17:41","23.1600","-5.11","-494.40","2022-11-29 00:00:00","480","20.4700","787.40","142631054"
"2022-11-18 12:57:57","LONG","64","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","46.7400","64","2022-11-21 09:35:31","46.5200","-0.84","-83.20","2022-11-18 15:50:00","64","45.4400","-15.28","142617559"
"2022-11-10 14:31:36","LONG","477","TQQQ","PROSHARES ULTRAPRO QQQ","20.8756","477","2022-11-18 12:53:38","21.3336","-0.14","-13.89","2022-11-10 14:44:00","463","20.8100","208.46","142524960"
"2022-11-04 10:54:35","LONG","55","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","59.8200","55","2022-11-07 10:20:22","59.2400","-0.84","-80.85","2022-11-07 09:31:00","55","58.3500","-33.10","142442965"
"2022-10-31 15:07:23","LONG","60","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","52.0800","60","2022-11-02 11:32:44","54.9700","-1.57","-148.80","2022-11-01 00:00:00","60","49.6000","171.80","142385761"
"2022-09-16 09:32:56","LONG","260","TZA","DIREXION DAILY SMALL CAP BEAR 3X ETF","37.3700","260","2022-09-21 09:51:59","37.5127","-3.19","-309.40","2022-09-19 00:00:00","260","36.1800","31.80","141828168"
"2022-09-20 09:43:32","LONG","100","SQQQ","PROSHARES ULTRAPRO SHORT QQQ","49.4400","100","2022-09-21 09:51:27","48.3000","-1.56","-152.00","2022-09-20 12:05:00","100","47.9200","-116.00","141862682"
"2022-09-15 09:55:41","LONG","270","TNA","DIREXION DAILY SMALL CAP BULL 3X ETF","39.8300","270","2022-09-16 09:32:22","36.4900","-10.27","-1050.30","2022-09-16 00:00:00","270","35.9400","-907.40","141814792"
"2022-09-13 09:31:42","LONG","300","TZA","DIREXION DAILY SMALL CAP BEAR 3X ETF","33.7500","300","2022-09-15 09:55:12","34.3900","-0.67","-75.00","2022-09-13 09:53:00","300","33.5000","186.00","141762683"
"2022-09-07 11:15:52","LONG","145","SPXL","DIREXION DAILY S&P 500 BULL 3X ETF","72.4900","145","2022-09-13 09:31:11","76.8600","-0.90","-88.45","2022-09-07 12:23:00","145","71.8800","631.10","141689371"
"2022-09-06 10:05:34","LONG","450","SPXS","DIREXION DAILY S&P 500 BEAR 3X ETF","23.5700","450","2022-09-07 11:13:05","22.6700","-4.00","-405.00","2022-09-07 11:13:00","450","22.6700","-414.00","141669416"
"2022-09-02 09:34:26","LONG","150","SPXL","DIREXION DAILY S&P 500 BULL 3X ETF","75.2900","150","2022-09-06 10:04:59","70.1000","-7.92","-826.50","2022-09-06 10:04:00","150","69.7800","-782.00","141635237"
"2022-08-26 10:33:07","LONG","510","SPXS","DIREXION DAILY S&P 500 BEAR 3X ETF","19.7700","510","2022-09-02 09:31:06","21.8300","0.00","0.00","2022-08-26 10:33:07","","0.0000","1046.00","141557634"
"2022-08-25 09:56:38","LONG","130","SPXL","DIREXION DAILY S&P 500 BULL 3X ETF","86.0000","130","2022-08-26 10:32:46","84.5800","-2.38","-247.00","2022-08-26 10:31:00","130","84.1000","-187.60","141535871"
"2022-08-22 15:58:33","LONG","550","SPXS","DIREXION DAILY S&P 500 BEAR 3X ETF","19.8700","550","2022-08-23 09:31:12","19.8800","-0.98","-99.00","2022-08-23 00:00:00","550","19.6900","1.00","141500086"
"2022-08-16 12:17:27","LONG","130","SPXL","DIREXION DAILY S&P 500 BULL 3X ETF","95.6900","130","2022-08-17 09:31:33","93.0100","-3.73","-391.30","2022-08-17 00:00:00","130","92.6800","-350.60","141436281"
"2022-08-12 11:57:37","LONG","128","SPXL","DIREXION DAILY S&P 500 BULL 3X ETF","91.3500","128","2022-08-16 10:03:41","94.0400","-0.21","-21.76","2022-08-12 12:00:00","128","91.1800","341.44","141402640"
"2022-08-10 09:31:53","LONG","125","SPXL","DIREXION DAILY S&P 500 BULL 3X ETF","87.9700","125","2022-08-11 13:57:21","90.2000","-1.11","-110.62","2022-08-10 10:21:00","125","87.0850","276.50","141366970"
