Date,Ticker,Stage,Action,Close,Stop,Risk_Pct,RS20d,ADX,DI_Plus,DI_Minus,Trending,VolSpike,AvgVol,ExtCount,Notes
2026-05-10,SPRC,Wedge Pop,BUY,6.91,6.2,10.3,76.7,44.4,30.5,13.5,True,False,1010486,1,Crossed above 20 EMA after 3 days below
2026-05-10,PSTV,Wedge Pop,BUY,6.22,6.04,2.9,71.0,21.8,25.3,20.1,True,False,532811,0,Crossed above 20 EMA after 3 days below
2026-05-10,VELO,Wedge Pop,BUY,13.4,13.11,2.2,16.7,25.4,24.5,17.2,True,False,2546446,0,Crossed above 20 EMA after 3 days below
2026-05-10,RMBS,Wedge Pop,BUY,118.0,117.94,0.1,12.1,26.9,31.2,28.1,True,False,2672515,0,Crossed above 20 EMA after 4 days below
2026-05-10,ACDC,Wedge Pop,BUY,7.52,6.89,8.4,10.8,29.4,36.5,15.6,True,False,1246178,1,Crossed above 20 EMA after 4 days below
2026-05-10,AEBI,Wedge Pop,BUY,11.49,11.41,0.7,7.1,23.4,14.4,23.0,False,False,311845,0,Crossed above 20 EMA after 5 days below
2026-05-10,LBRT,Wedge Pop,BUY,33.7,31.02,8.0,6.0,25.0,28.1,18.1,True,False,3741288,1,Crossed above 20 EMA after 6 days below
2026-05-10,JACK,Wedge Pop,BUY,12.84,12.45,3.1,5.2,25.0,26.2,18.9,True,False,715989,0,Crossed above 20 EMA after 3 days below
2026-05-10,PUMP,Wedge Pop,BUY,16.61,15.83,4.7,5.2,23.0,29.8,23.6,True,True,4109943,1,Crossed above 20 EMA after 3 days below
2026-05-10,TPG,Wedge Pop,BUY,45.61,43.06,5.6,4.4,22.2,30.0,17.1,True,False,2975912,0,Crossed above 20 EMA after 3 days below
2026-05-10,AVR,Wedge Pop,BUY,6.19,5.86,5.4,4.1,17.1,30.5,14.9,True,False,674302,1,Crossed above 20 EMA after 6 days below
2026-05-10,BKKT,Wedge Pop,BUY,9.09,8.71,4.2,3.3,10.9,22.2,22.7,False,False,1028200,0,Crossed above 20 EMA after 4 days below
2026-05-10,SBET,Wedge Pop,BUY,7.6,7.26,4.4,3.3,12.1,24.4,19.7,False,False,7736079,0,Crossed above 20 EMA after 3 days below
2026-05-10,CTGO,Wedge Pop,BUY,23.05,22.59,2.0,3.2,15.1,22.9,23.1,False,False,422810,0,Crossed above 20 EMA after 4 days below
2026-05-10,LGIH,Wedge Pop,BUY,45.75,44.47,2.8,1.9,26.9,29.4,22.4,True,False,432334,1,Crossed above 20 EMA after 3 days below
2026-05-10,ARRY,Wedge Pop,BUY,8.18,7.71,5.7,1.5,15.9,21.8,16.7,True,False,5426310,0,Crossed above 20 EMA after 3 days below
2026-05-10,INOD,Wedge Pop,BUY,45.64,43.02,5.7,0.9,17.0,29.7,18.8,True,True,957499,1,Crossed above 20 EMA after 6 days below
2026-05-10,SMR,Wedge Pop,BUY,11.87,11.77,0.9,0.9,22.2,19.2,18.0,True,False,37241301,0,Crossed above 20 EMA after 3 days below
2026-05-10,CEG,Wedge Pop,BUY,320.42,301.76,5.8,0.6,15.4,28.8,18.7,True,False,2602375,2,Crossed above 20 EMA after 3 days below
2026-05-10,BKSY,Wedge Pop,BUY,35.96,34.0,5.4,0.4,25.2,28.8,17.4,True,False,1958244,0,Crossed above 20 EMA after 3 days below
2026-05-10,CWH,Wedge Pop,BUY,7.38,7.24,1.9,0.4,19.3,28.7,16.9,True,False,3563858,1,Crossed above 20 EMA after 6 days below
2026-05-10,EMPD,Wedge Pop,BUY,5.16,4.84,6.2,0.4,16.8,30.9,20.4,True,False,473823,0,Crossed above 20 EMA after 3 days below
2026-05-10,NVMI,Wedge Pop,BUY,515.67,502.44,2.6,-0.1,15.5,25.7,20.2,True,False,281225,0,Crossed above 20 EMA after 4 days below
2026-05-10,HCSG,Wedge Pop,BUY,21.73,20.68,4.8,-0.2,26.1,30.7,17.3,True,False,768306,1,Crossed above 20 EMA after 3 days below
2026-05-10,AAON,Wedge Pop,BUY,93.66,91.74,2.0,-0.5,12.7,23.6,23.6,False,True,838546,0,Crossed above 20 EMA after 3 days below
2026-05-10,GDS,Wedge Pop,BUY,45.0,42.93,4.6,-1.1,9.2,29.8,24.1,False,False,1301910,0,Crossed above 20 EMA after 3 days below
2026-05-10,HTZ,Wedge Pop,BUY,6.09,6.01,1.3,-1.1,34.0,29.6,20.1,True,False,17109274,0,Crossed above 20 EMA after 6 days below
2026-05-10,RES,Wedge Pop,BUY,7.8,7.43,4.8,-1.5,19.5,29.1,21.5,True,False,2218005,1,Crossed above 20 EMA after 3 days below
2026-05-10,TEM,Wedge Pop,BUY,54.07,52.2,3.5,-1.5,16.7,27.5,21.7,True,False,5372394,1,Crossed above 20 EMA after 3 days below
2026-05-10,CLNN,Wedge Pop,BUY,6.58,6.25,4.9,-1.6,19.8,34.5,15.0,True,False,1226503,1,Crossed above 20 EMA after 3 days below
2026-05-10,NXT,Wedge Pop,BUY,123.34,116.7,5.4,-1.7,15.6,26.0,16.4,True,False,1697531,0,Crossed above 20 EMA after 8 days below
2026-05-10,TMC,Wedge Pop,BUY,5.24,5.13,2.1,-1.7,15.7,21.3,19.9,True,False,4485440,0,Crossed above 20 EMA after 5 days below
2026-05-10,WTTR,Wedge Pop,BUY,17.25,16.02,7.1,-1.9,21.6,31.9,14.9,True,False,1920289,1,Crossed above 20 EMA after 3 days below
2026-05-10,AMG,Wedge Pop,BUY,303.64,292.31,3.7,-2.2,14.3,24.5,23.2,False,False,334797,0,Crossed above 20 EMA after 3 days below
2026-05-10,AAL,Wedge Pop,BUY,12.37,11.72,5.2,-2.3,15.6,34.8,24.4,True,False,55912163,0,Crossed above 20 EMA after 3 days below
2026-05-10,NABL,Wedge Pop,BUY,5.47,5.13,6.3,-2.3,14.1,29.2,18.8,False,False,963283,1,Crossed above 20 EMA after 3 days below
2026-05-10,OPEN,Wedge Pop,BUY,5.23,5.16,1.4,-2.4,16.6,25.2,21.2,True,False,34885221,0,Crossed above 20 EMA after 3 days below
2026-05-10,CERT,Wedge Pop,BUY,6.18,6.1,1.3,-2.6,20.6,20.2,25.4,False,False,2888520,0,Crossed above 20 EMA after 4 days below
2026-05-10,NN,Wedge Pop,BUY,18.8,18.1,3.7,-2.6,19.3,28.4,30.7,False,False,3291044,0,Crossed above 20 EMA after 8 days below
2026-05-10,COIN,Wedge Pop,BUY,197.75,192.42,2.7,-2.7,14.5,28.6,24.3,False,False,10009466,0,Crossed above 20 EMA after 3 days below
2026-05-10,IRD,Wedge Pop,BUY,5.2,5.15,0.9,-3.0,20.8,17.7,18.9,False,False,739396,0,Crossed above 20 EMA after 4 days below
2026-05-10,KEP,Wedge Pop,BUY,15.54,15.27,1.7,-3.0,18.9,27.8,29.9,False,False,593376,0,Crossed above 20 EMA after 6 days below
2026-05-10,FVRR,Wedge Pop,BUY,11.57,10.91,5.7,-3.3,20.8,35.6,17.7,True,False,792908,1,Crossed above 20 EMA after 3 days below
2026-05-10,KDP,Wedge Pop,BUY,28.92,27.73,4.1,-3.3,28.3,26.3,14.8,True,False,11694518,1,Crossed above 20 EMA after 4 days below
2026-05-10,BMNR,Wedge Pop,BUY,23.1,21.78,5.7,-3.7,10.6,28.1,21.5,False,False,38993402,0,Crossed above 20 EMA after 4 days below
2026-05-10,IMMR,Wedge Pop,BUY,6.35,6.08,4.3,-3.7,19.8,37.7,20.8,True,False,671124,1,Crossed above 20 EMA after 4 days below
2026-05-10,AERO,Wedge Pop,BUY,15.77,15.21,3.5,-3.8,12.4,23.2,18.4,False,False,385377,0,Crossed above 20 EMA after 7 days below
2026-05-10,PHAT,Wedge Pop,BUY,12.6,12.01,4.7,-3.9,16.4,21.9,22.7,False,False,1326656,1,Crossed above 20 EMA after 6 days below
2026-05-10,MGNI,Wedge Pop,BUY,13.6,12.96,4.7,-4.0,13.8,28.1,20.7,False,False,1880824,0,Crossed above 20 EMA after 3 days below
2026-05-10,DNOW,Wedge Pop,BUY,13.61,12.66,6.9,-4.1,24.5,31.7,10.5,True,False,2654744,1,Crossed above 20 EMA after 6 days below
2026-05-10,DOCS,Wedge Pop,BUY,25.77,24.21,6.0,-4.1,21.9,28.9,25.8,True,False,3016599,0,Crossed above 20 EMA after 3 days below
2026-05-10,SDGR,Wedge Pop,BUY,12.87,12.12,5.8,-4.1,13.0,27.6,16.5,False,False,1517963,1,Crossed above 20 EMA after 5 days below
2026-05-10,BKR,Wedge Pop,BUY,67.78,65.0,4.1,-4.2,27.0,32.3,15.9,True,False,8356165,1,Crossed above 20 EMA after 5 days below
2026-05-10,IX,Wedge Pop,BUY,33.23,31.78,4.4,-4.3,17.5,38.2,26.0,True,False,322218,1,Crossed above 20 EMA after 4 days below
2026-05-10,ANGO,Wedge Pop,BUY,10.96,10.81,1.3,-4.4,16.5,30.1,20.4,True,False,393553,0,Crossed above 20 EMA after 5 days below
2026-05-10,GPRK,Wedge Pop,BUY,9.82,9.31,5.2,-4.4,14.4,29.2,18.4,False,False,926445,0,Crossed above 20 EMA after 6 days below
2026-05-10,IMMX,Wedge Pop,BUY,9.56,9.4,1.7,-4.5,15.9,19.4,20.6,False,False,670566,0,Crossed above 20 EMA after 4 days below
2026-05-10,LEA,Wedge Pop,BUY,131.65,125.78,4.5,-4.5,17.4,34.0,19.1,True,False,510485,0,Crossed above 20 EMA after 3 days below
2026-05-10,BCAX,Wedge Pop,BUY,23.16,22.13,4.5,-4.7,25.0,25.8,16.4,True,False,472738,0,Crossed above 20 EMA after 3 days below
